Company Name,Top Parent Company,Company Type,Company Category
SYNAPXE PTE. LTD.,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
CERTIS CISCO SECURITY PTE. LTD.,TEMASEK CAPITAL (PRIVATE) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
CERTIS CISCO PROTECTION SERVICES PTE. LTD.,TEMASEK CAPITAL (PRIVATE) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING CLOUD AND DATA CENTRE SOLUTIONS PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ADMIRALTY MEDICAL CENTRE PTE. LTD.,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING SYNTHESIS PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
SFI MANUFACTURING PRIVATE LIMITED,SATS LTD.,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING TRAINING & SIMULATION SYSTEMS PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST LOGISTICS PTE. LTD.,TOLL INTERNATIONAL INVESTMENTS PTY LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING MANAGEMENT SERVICES PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING LAND MRO & SERVICES PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
ST ENGINEERING MOBILITY SERVICES PTE. LTD.,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
NATIONAL NEUROSCIENCE INSTITUTE OF SINGAPORE PTE LTD,MINISTER FOR FINANCE,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
MEDIA RESEARCH CONSULTANTS PTE LTD,TEMASEK HOLDINGS (PRIVATE) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
TANAH MERAH COUNTRY CLUB,TANAH MERAH COUNTRY CLUB,,Govt & Related Agencies
UNICORN INTERNATIONAL PTE LIMITED,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
STA INSPECTION PTE LTD,SINGAPORE TECHNOLOGIES ENGINEERING LTD,PRIVATE COMPANY LIMITED BY SHARES,Govt & Related Agencies
TAMPINES EAST COMMUNITY CLUB,PEOPLE'S ASSOCIATION,,Govt & Related Agencies
JURONG COMMUNITY HOSPITAL,MINISTER FOR FINANCE,SOLE PROPRIETOR,Govt & Related Agencies
PRIME MINISTER'S OFFICE,PRIME MINISTER'S OFFICE,,Govt & Related Agencies
HOME TEAM SCIENCE AND TECHNOLOGY AGENCY,MINISTRY OF HOME AFFAIRS,PUBLIC LIMITED COMPANY,Govt & Related Agencies
TAMPINES CHANGKAT COMMUNITY CLUB,TAMPINES CHANGKAT COMMUNITY CLUB,,Govt & Related Agencies
TOA PAYOH WEST COMMUNITY CLUB,TOA PAYOH WEST COMMUNITY CLUB,,Govt & Related Agencies
Monetary Authority of Singapore,Monetary Authority of Singapore,,Govt & Related Agencies
A*STAR RESEARCH ENTITIES,A*STAR RESEARCH ENTITIES,PUBLIC COMPANY LIMITED BY GUARANTEE,Govt & Related Agencies
