Company Name,Top Parent Company,Company Type,Company Category
CORA ENVIRONMENT PTE. LTD.,SEMBCORP INDUSTRIES LTD,PRIVATE COMPANY LIMITED BY SHARES,Mid-Sized
AQUAMARINA HOTEL PRIVATE LIMITED,MARINA CENTRE HOLDINGS PRIVATE LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Mid-Sized
KANDENKO CO LTD,KANDENKO CO LTD,FOREIGN COMPANY REGISTERED IN SINGAPORE,Mid-Sized
NTUC FIRST CAMPUS LIMITED,NTUC FIRST CAMPUS LIMITED,PUBLIC COMPANY LIMITED BY GUARANTEE,Mid-Sized
CERTIS CISCO MANPOWER PTE. LTD.,TEMASEK CAPITAL (PRIVATE) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Mid-Sized
TOLL OFFSHORE PETROLEUM SERVICES PTE. LTD.,TOLL INTERNATIONAL INVESTMENTS PTY LIMITED,PRIVATE COMPANY LIMITED BY SHARES,Mid-Sized
Ceva Logistics Solutions Singapore PTE. LTD.,CEVA AIR & OCEAN INTERNATIONAL SE,PRIVATE COMPANY LIMITED BY SHARES,Mid-Sized
SINCERE WATCH LIMITED.,CORTINA HOLDINGS LIMITED,PUBLIC COMPANY LIMITED BY SHARES,Mid-Sized
KEPPEL SEGHERS PTE. LTD.,KEPPEL LTD.,PRIVATE COMPANY LIMITED BY SHARES,Mid-Sized
NTUC MY FIRST SKOOL LIMITED,NTUC MY FIRST SKOOL LIMITED,PUBLIC COMPANY LIMITED BY GUARANTEE,Mid-Sized
SHANGHAI TUNNEL ENGINEERING CO (SINGAPORE) PTE LTD,SHANGHAI TUNNEL ENGINEERING CO LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,Mid-Sized
GRANMIL HOLDINGS PTE LTD,GRANMIL HOLDINGS PTE LTD,PRIVATE COMPANY LIMITED BY SHARES,Mid-Sized
77R INVESTMENTS PTE. LTD.,ARCH INVESTMENT LTD,PRIVATE COMPANY LIMITED BY SHARES,Mid-Sized
FMC TECHNOLOGIES SINGAPORE PTE LTD,FMC TECHNOLOGIES SINGAPORE PTE LTD,PRIVATE LIMITED,MNC
ANGLO AMERICAN MARKETING LIMITED Singapore Branch,ANGLO AMERICAN MARKETING LIMITED Singapore Branch,FOREIGN COMPANY REGISTERED IN SINGAPORE,MNC
CHUBB ASIA PACIFIC PTE. LTD. (F.K.A. ACE ASIA PACIFIC SERVIC,CHUBB ASIA PACIFIC PTE. LTD. (F.K.A. ACE ASIA PACIFIC SERVIC,PRIVATE LIMITED,MNC
JET AVIATION (ASIA PACIFIC) PTE LTD,JET AVIATION HOLDING GMBH,PRIVATE COMPANY LIMITED BY SHARES,MNC
"GE AVIATION, ENGINE SERVICES - SINGAPORE PTE. LTD.","GEAE TECHNOLOGY, INC.",PRIVATE COMPANY LIMITED BY SHARES,MNC
PANASONIC ASIA PACIFIC PTE. LTD.,PANASONIC ASIA PACIFIC PTE. LTD.,PRIVATE LIMITED,MNC
HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,PUBLIC COMPANY LIMITED BY SHARES,MNC
BRC ASIA LIMITED,BRC ASIA LIMITED,PRIVATE LIMITED,MNC
GLOBALFOUNDRIES SINGAPORE PTE. LTD.,GLOBALFOUNDRIES INC.,PRIVATE COMPANY LIMITED BY SHARES,MNC
COLD STORAGE SINGAPORE (1983) PTE LTD,Macrovalue Six Sdn. Bhd.,PRIVATE COMPANY LIMITED BY SHARES,MNC
JABIL CIRCUIT (SINGAPORE) PTE. LTD.,JABIL INC. (IN ITS CAPACITY AS THE GENERAL PARTNER OF JABIL CIRCUIT CAYMAN LP),PRIVATE COMPANY LIMITED BY SHARES,MNC
SAFRAN LANDING SYSTEMS SERVICES SINGAPORE PTE. LTD.,SAFRAN LANDING SYSTEMS,PRIVATE COMPANY LIMITED BY SHARES,MNC
EVONIK (SEA) PTE. LTD.,EVONIK (SEA) PTE. LTD.,PRIVATE LIMITED,MNC
GIVAUDAN INTERNATIONAL SA,GIVAUDAN INTERNATIONAL SA,PRIVATE LIMITED,MNC
GOODYEAR ORIENT COMPANY (PRIVATE) LIMITED,THE GOODYEAR TIRE & RUBBER COMPANY,PRIVATE COMPANY LIMITED BY SHARES,MNC
GOODPACK IBC (SINGAPORE) PTE. LTD.,GOODPACK IBC (SINGAPORE) PTE. LTD.,PRIVATE LIMITED,MNC
LF LOGISTICS SERVICES PTE. LTD.,MAERSK CONTRACT LOGISTICS MANAGEMENT (ASIA) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,MNC
INFOSYS CONSULTING PTE. LTD.,INFOSYS CONSULTING PTE. LTD.,PRIVATE LIMITED,MNC
JURONG ENGINEERING LIMITED,IHI CORPORATION,PUBLIC COMPANY LIMITED BY SHARES,MNC
KNIGHT FRANK PROPERTY & FACILITIES MANAGEMENT PTE. LTD.,KNIGHT FRANK PTE LTD,PRIVATE COMPANY LIMITED BY SHARES,MNC
KONICA MINOLTA BUSINESS SOLUTIONS ASIA PTE. LTD.,"KONICA MINOLTA, INC.",PRIVATE COMPANY LIMITED BY SHARES,MNC
MALAYSIA AIRLINES BERHAD,MALAYSIA AIRLINES BERHAD,PUBLIC LIMITED COMPANY,MNC
MIMS PTE. LTD. (F.K.A.MEDIMEDIA ASIA PTE LTD),MIMS PTE. LTD. (F.K.A.MEDIMEDIA ASIA PTE LTD),PRIVATE LIMITED,MNC
MICRON SEMICONDUCTOR ASIA PTE. LTD.,"MICRON SEMICONDUCTOR ASIA, LLC",PRIVATE COMPANY LIMITED BY SHARES,MNC
MIKRON SINGAPORE PTE. LTD.,MIKRON HOLDING AG,PRIVATE COMPANY LIMITED BY SHARES,MNC
MSIG HOLDINGS (ASIA) PTE. LTD.,MSIG HOLDINGS (ASIA) PTE. LTD.,PRIVATE LIMITED,MNC
ROLLS-ROYCE SOLUTIONS ASIA PTE. LTD.,Rolls-Royce Holdings plc,PRIVATE COMPANY LIMITED BY SHARES,MNC
FLEXTRONICS MANUFACTURING (SINGAPORE) PTE. LTD.,FLEXTRONICS PUERTO RICO LIMITED,PRIVATE COMPANY LIMITED BY SHARES,MNC
NIKE GLOBAL TRADING PTE. LTD.,NIKE GLOBAL TRADING PTE. LTD.,PRIVATE LIMITED,MNC
NIKE GLOBAL TRADING B.V. SINGAPORE BRANCH,NIKE GLOBAL TRADING B.V. SINGAPORE BRANCH,,MNC
ORICA INTERNATIONAL PTE. LTD.,ORICA INVESTMENTS PTY LTD,PRIVATE COMPANY LIMITED BY SHARES,MNC
PARKWAY HOSPITALS SINGAPORE PTE. LTD.,INTEGRATED HEALTHCARE HOLDINGS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,MNC
EASTSPRING INVESTMENTS (SINGAPORE) LIMITED,EASTSPRING INVESTMENTS (SINGAPORE) LIMITED,PUBLIC LIMITED COMPANY,MNC
RAFFLES HOSPITAL PTE LTD,RAFFLES MEDICAL GROUP LTD,PRIVATE COMPANY LIMITED BY SHARES,MNC
MSD INTERNATIONAL GMBH (Singapore Branch),MSD INTERNATIONAL GMBH (Singapore Branch),FOREIGN COMPANY REGISTERED IN SINGAPORE,MNC
SHELL SINGAPORE PTE. LTD.,SHELL PETROLEUM B.V.,PRIVATE COMPANY LIMITED BY SHARES,MNC
SHIMANO (SINGAPORE) PRIVATE LIMITED,SHIMANO INC,PRIVATE COMPANY LIMITED BY SHARES,MNC
SATS LTD.,SATS LTD.,PUBLIC COMPANY LIMITED BY SHARES,MNC
STANDARD CHARTERED BANK,STANDARD CHARTERED BANK,,MNC
SYNGENTA CROP PROTECTION AG,SYNGENTA CROP PROTECTION AG,PRIVATE LIMITED,MNC
UNITED OVERSEAS BANK LIMITED,UNITED OVERSEAS BANK LIMITED,PUBLIC COMPANY LIMITED BY SHARES,MNC
ZUELLIG PHARMA ASIA PACIFIC LTD. PHILS. ROHQ,ZUELLIG PHARMA ASIA PACIFIC LTD. PHILS. ROHQ,PRIVATE LIMITED,MNC
"LUFTHANSA TECHNIK PHILIPPINES, INC.","LUFTHANSA TECHNIK PHILIPPINES, INC.",,MNC
QATAR AIRWAYS Q.C.S.C,QATAR AIRWAYS Q.C.S.C,,MNC
RIO TINTO COMMERCIAL PTE. LTD.,RIO TINTO INTERNATIONAL HOLDINGS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,MNC
CTC GLOBAL PTE. LTD.,ITOCHU-TECHNO SOLUTIONS CORPORATION,PRIVATE COMPANY LIMITED BY SHARES,MNC
DHL EXPRESS (SINGAPORE) PTE. LTD.,DEUTSCHE POST BETEILIGUNGEN HOLDING GMBH,PRIVATE COMPANY LIMITED BY SHARES,MNC
IBM SINGAPORE PTE LTD,"IBM SINGAPORE HOLDINGS I, LLC",PRIVATE COMPANY LIMITED BY SHARES,MNC
SEAGATE SINGAPORE INTERNATIONAL HEADQUARTERS PTE. LTD.,SEAGATE TECHNOLOGY INTERNATIONAL,PRIVATE COMPANY LIMITED BY SHARES,MNC
AIR LIQUIDE SINGAPORE PRIVATE LIMITED,SOCIETE D'OXYGENE ET D'ACETYLENE D'EXTREME-ORIENT,PRIVATE COMPANY LIMITED BY SHARES,MNC
KPMG SERVICES PTE. LTD.,KPMG LLP,PRIVATE COMPANY LIMITED BY SHARES,MNC
MICRON SEMICONDUCTOR ASIA OPERATIONS PTE. LTD.,"MICRON SEMICONDUCTOR ASIA, LLC",PRIVATE COMPANY LIMITED BY SHARES,MNC
OLYMPUS SINGAPORE PTE. LTD.,OLYMPUS CORPORATION OF ASIA PACIFIC LIMITED,PRIVATE COMPANY LIMITED BY SHARES,MNC
FLEXTRONICS SHAH ALAM SDN. BHD.,FLEX LTD.,PRIVATE LIMITED,MNC
DOCTOR ANYWHERE PTE. LTD.,DOCTOR ANYWHERE PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,MNC
IKANO PTE LTD,IKANO SA,PRIVATE COMPANY LIMITED BY SHARES,MNC
SHISEIDO ASIA PACIFIC PTE. LTD.,"SHISEIDO COMPANY, LIMITED",PRIVATE COMPANY LIMITED BY SHARES,MNC
SAMSUNG SDS ASIA PACIFIC PTE. LTD.,"SAMSUNG SDS CO., LTD",PRIVATE COMPANY LIMITED BY SHARES,MNC
SOCIETE DES MATIERES PREMIERES TROPICALES PTE LTD,COMPAGNIE FINANCIERE MICHELIN,PRIVATE COMPANY LIMITED BY SHARES,MNC
Boskalis Philippines Inc,Royal Boskalis Westminster N.V,,MNC
TOTALENERGIES MARKETING ASIA-PACIFIC MIDDLE EAST PTE. LTD.,TOTALENERGIES MARKETING HOLDINGS ASIA,PRIVATE COMPANY LIMITED BY SHARES,MNC
General Electric Global Services GmbH Switzerland,GENERAL ELECTRIC COMPANY,,MNC
FIELDCORE SERVICE SOLUTIONS INTERNATIONAL LLC,GENERAL ELECTRIC COMPANY,FOREIGN COMPANY REGISTERED IN SINGAPORE,MNC
KLN LOGISTICS CENTRE (TAMPINES) PTE. LTD.,KERRY LOGISTICS SERVICES (ASIA) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,MNC
"SCHLUMBERGER OILFIELD EQUIPMENT (SHANGHAI) CO.,LTD.","SCHLUMBERGER OILFIELD EQUIPMENT (SHANGHAI) CO.,LTD.",,MNC
VISY SINGAPORE HEADQUARTERS PTE. LTD.,PRATT HOLDINGS PTY LTD,PRIVATE COMPANY LIMITED BY SHARES,MNC
TRACX LOGIS PTE. LTD.,TRACX LOGIS PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,MNC
EXCELITAS TECHNOLOGIES SINGAPORE PTE. LTD.,EXCELITAS TECHNOLOGIES HOLDING 2 B.V.,PRIVATE COMPANY LIMITED BY SHARES,MNC
MURATA ELECTRONICS SINGAPORE (PTE) LTD,MURATA MANUFACTURING CO. LTD.,PRIVATE COMPANY LIMITED BY SHARES,MNC
W SINGAPORE SENTOSA COVE HOTEL,W SINGAPORE SENTOSA COVE HOTEL,SOLE PROPRIETOR,SME
MOHAMED MUSTAFA & SAMSUDDIN CO. PTE LTD,MUSTAQ CAPITAL PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
MUSIC TRIBE SERVICES SG PTE. LTD.,MUSIC TRIBE SERVICES SG PTE. LTD.,PRIVATE LIMITED,SME
ANSLEM LOGISTICS PTE. LTD.,ANSLEM LOGISTICS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
HOLCAM CONSTRUCTION PTE LTD,HOLCAM CONSTRUCTION PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
EMERSON AUTOMATION SOLUTIONS FINAL CONTROL SINGAPORE PTE. LTD.,ROSEMOUNT INC,PRIVATE COMPANY LIMITED BY SHARES,SME
KOCH BUSINESS SOLUTIONS - ASIA PACIFIC PTE. LTD.,KOCH BUSINESS SOLUTIONS - ASIA PACIFIC PTE. LTD.,PRIVATE LIMITED,SME
KODAKIT (SINGAPORE) PTE. LTD.,KODAKIT (SINGAPORE) PTE. LTD.,,SME
MINISO SG PTE. LTD.,MINISO SG PTE. LTD.,PRIVATE LIMITED,SME
NETWORK FOR ELECTRONIC TRANSFERS (SINGAPORE) PTE LTD,NETWORK FOR ELECTRONIC TRANSFERS (SINGAPORE) PTE LTD,PRIVATE LIMITED,SME
PACMAR SHIPPING PTE LTD,PACMAR SHIPPING PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
RADIO HOLLAND SINGAPORE PTE. LTD.,RADIO HOLLAND GROUP B.V.,PRIVATE COMPANY LIMITED BY SHARES,SME
TETRA PAK SOUTH EAST ASIA PTE LTD,PICEA ANSTALT,PRIVATE COMPANY LIMITED BY SHARES,SME
PSGOURMET PTE. LTD.,SUN VENTURE PE LTD,PRIVATE COMPANY LIMITED BY SHARES,SME
PRELIM CONSTRUCTION PTE LTD,PRELIM CONSTRUCTION PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
CRESCENDAS BIONICS PTE. LTD.,SINGAPORE CAPITAL INCORPORATION PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
EXPAND CONSTRUCTION PTE LTD,EXPAND CONSTRUCTION PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
KTC CIVIL ENGINEERING & CONSTRUCTION PTE LTD,KTC CIVIL ENGINEERING & CONSTRUCTION PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
"KURIHARA KOGYO CO., LTD.","KURIHARA KOGYO CO., LTD.",FOREIGN COMPANY REGISTERED IN SINGAPORE,SME
MOVA AUTOMOTIVE PTE LTD,MOVA AUTOMOTIVE PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SOON POH TELECOMMUNICATIONS PTE LTD,SOON POH TELECOMMUNICATIONS PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
YOONG SHEN ELECTRICAL PTE. LTD.,YOONG SHEN ELECTRICAL PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
INTERNATIONAL FLAVOURS & FRAGRANCES (GREATER ASIA) PTE LTD,INTERNATIONAL FLAVOURS & FRAGRANCES (GREATER ASIA) PTE LTD,,SME
ENG HUP SHIPPING PTE LTD,ENG HUP SHIPPING PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
TRYUMP TRADING PTE. LTD.,TRYUMP TRADING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SINGAPORE HOSPITALITY GROUP PTE. LTD.,RIVERVIEW TANDOOR PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
ACME ASSOCIATES PTE. LTD.,ACME ASSOCIATES PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
REN CI HOSPITAL,REN CI HOSPITAL,PUBLIC COMPANY LIMITED BY GUARANTEE,SME
ANG MO KIO - THYE HUA KWAN HOSPITAL LTD.,ANG MO KIO - THYE HUA KWAN HOSPITAL LTD.,PUBLIC COMPANY LIMITED BY GUARANTEE,SME
YEW SENG HENG ENGINEERING PTE LTD,YEW SENG HENG GROUP PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
PURETECH ENGINEERING PTE LTD,PURETECH ENGINEERING PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
TCG CONSTRUCTION PTE. LTD.,KETI HOLDINGS PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
SINGAPORE PRECISION WELDING PTE. LTD.,METASURFACE TECHNOLOGIES HOLDINGS LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
WEIMA BUILDERS PTE. LTD.,WEIMA BUILDERS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SENNEX CONSULTANTS PTE. LTD.,SENNEX CONSULTANTS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
THE GOVT PRIVATE LIMITED,THE B3TTERMENT GROUP PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 3271,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 3271,,SME
CRYSTAL OFFSHORE PTE. LTD.,CRYSTAL OFFSHORE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
CUSCADEN PROPERTIES PTE LTD,ALLGREEN PROPERTIES LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4838,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4838,,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 1883,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 1883,,SME
ELE-GANS FACILITY SERVICES PTE. LTD.,ELE-GANS FACILITY SERVICES PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
CYCLECT FACILITIES MANAGEMENT PTE. LTD.,AMGT PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
WEST CO'Z CAFE PTE. LTD.,WEST CO'Z CAFE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
XIN YUAN JI PTE. LTD.,XIN YUAN JI PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
BUGIS XIN YUAN JI PTE. LTD.,BUGIS XIN YUAN JI PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SEGAR RESTAURANT PTE. LTD.,SEGAR RESTAURANT PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SEGAR@DOWNTOWNEAST PTE. LTD.,SEGAR@DOWNTOWNEAST PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SEGAR@YISHUN PTE. LTD.,SEGAR@YISHUN PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2672,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 2672,,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 3721,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 3721,,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4651,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4651,,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4425,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 4425,,SME
FIFTH RIGGING CONSTRUCTION ENGINEERING PTE. LTD.,FIFTH RIGGING CONSTRUCTION ENGINEERING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
FEI SIONG FOOD MANAGEMENT PTE. LTD.,FEI SIONG FOOD MANAGEMENT PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
HUP HIN HEAVY EQUIPMENT PTE. LTD.,HUP HIN CAPITAL PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
POLLISUM ENGINEERING PTE. LTD.,POLLISUM GROUP PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
JJ YUMMY FOOD PTE. LTD.,JJ YUMMY FOOD PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
JJ EXCELLENT FOOD PTE. LTD.,CHIN F&B EMPIRE PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
JJ HAINAN BAO PTE. LTD.,CHIN F&B EMPIRE PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
TANG DIMSUM PTE. LTD.,TANG DIMSUM PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SAKUNTHALA'S FOOD MANUFACTURERS PTE. LTD.,SAKUNTHALA'S FOOD MANUFACTURERS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
LIM'S RESTAURANT PTE. LTD.,LIM'S RESTAURANT PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
HJH MAIMUNAH RESTAURANT PTE. LTD.,HJH MAIMUNAH RESTAURANT PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
AL-AZHAR EATING RESTAURANT PTE. LTD.,AL-AZHAR EATING RESTAURANT PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
MY CORPORATE CLINIC PTE. LTD.,ALLIANCE HEALTHCARE GROUP LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
TIAN WAI TIAN FISH HEAD STEAMBOAT (1983) PTE. LTD.,TIAN WAI TIAN FISH HEAD STEAMBOAT (1983) PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
TANG TEA HOUSE PTE. LTD.,TANG TEA HOUSE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
RAIN GLOBAL PTE. LTD.,RAIN GLOBAL PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
HJH MAIMUNAH EXPRESS PTE. LTD.,HJH MAIMUNAH EXPRESS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
HJH MAIMUNAH KITCHEN PTE. LTD.,HJH MAIMUNAH KITCHEN PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
FEI SIONG FASTFOOD PTE. LTD.,FEI SIONG FOOD MANAGEMENT PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
LA D'ORO PTE. LTD.,WINSING INVESTMENT HOLDINGS PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
MIZUKI F & B PTE. LTD.,MULTI TRILLION PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
TRESCAL (SINGAPORE) PTE. LTD.,FINANCIERE ESTEREL SAS,PRIVATE COMPANY LIMITED BY SHARES,SME
PHIN'S STEAKHOUSE PTE. LTD.,PHIN'S STEAKHOUSE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
JUSTZ FOOD PTE. LTD.,JUSTZ FOOD PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SEO ENG JOO FROZEN FOOD PTE LTD,SEO ENG JOO FROZEN FOOD PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
7 DAYS HOLDING FOOD PTE. LTD.,7 DAYS HOLDING FOOD PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
FUN EMPIRE CULTURE AND ENTERTAINMENT MANAGEMENT CO. PTE. LTD.,FUN EMPIRE CULTURE AND ENTERTAINMENT MANAGEMENT CO. PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 1849,THE MANAGEMENT CORPORATION - STRATA TITLE PLAN NO. 1849,,SME
MILLENNIUM HOTELS AND RESORTS,MILLENNIUM HOTELS AND RESORTS,SOLE PROPRIETOR,SME
ECHT PROPERTY CONSULTANTS PTE. LTD.,ECHT PROPERTY CONSULTANTS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
KAIBENG WOODEN CASE MFG PTE. LTD.,KAIBENG WOODEN CASE MFG PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
DELUGE FIRE PROTECTION (S.E.A.) PTE LTD,DELUGE CORPORATION PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
ASPECT MOVER & WAREHOUSING PTE. LTD.,ASPECT MOVER & WAREHOUSING PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
ST. ANDREW'S DENTAL SURGEONS GROUP PTE. LTD.,ST. ANDREW'S DENTAL SURGEONS GROUP PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
BILLION GROUPS TUITION CENTRE PTE. LTD.,BILLION GROUPS TUITION CENTRE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
ERT EMPLOYMENT PTE. LTD.,ERT EMPLOYMENT PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
BY INVITE ONLY LLP,BY INVITE ONLY LLP,LIMITED LIABILITY PARTNERSHIP,SME
DR NATASHA LIM EYE CENTRE PTE. LTD.,DR NATASHA LIM EYE CENTRE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
GENKI SUSHI SINGAPORE PTE. LTD.,JAPANESE DINING CONCEPTS (ASIA) LIMITED,PRIVATE COMPANY LIMITED BY SHARES,SME
GLOBAL TECHSOLUTIONS (S) PTE. LTD.,GENIUSYS PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
GOLDBELL ENGINEERING PTE LTD,GOLDBELL ENGINEERING PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
HAIRSTUFF PTE. LTD.,HAIRSTUFF PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
LEROY SINGAPORE PTE LTD,LEROY SINGAPORE PTE LTD,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
ROYAL PALM PTE. LTD.,RIVERVIEW TANDOOR PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
HYBA PTE. LTD.,HYBA PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
PERTINENT LAW LLP,PERTINENT LAW LLP,LIMITED LIABILITY PARTNERSHIP,SME
MAGO HV PTE. LTD.,MAGO HV PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
SANG NILA UTANG MALA PTE. LTD.,SANG NILA UTANG MALA PTE. LTD.,PRIVATE COMPANY LIMITED BY SHARES,SME
SWIMWERKS ASIA PTE. LTD.,SWIMWERKS ASIA PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
QUANTUM GLOBE PTE. LTD.,QUANTUM GLOBE PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
ROYAL T GROUP PTE. LTD.,ROYAL T GROUP PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
SHINE AND SPARK SOLUTIONS PTE. LTD.,SHINE AND SPARK SOLUTIONS PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
THE GOODBURGER PTE. LTD.,THE GOODBURGER PTE. LTD.,EXEMPT PRIVATE COMPANY LIMITED BY SHARES,SME
